year,month,day,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,WD
2013,3,1,1,1,1,1,3,1,1,4,1,1,4,8
2013,3,2,1,1,1,2,3,1,1,4,1,1,1,2
2013,3,3,3,2,2,3,4,1,1,4,1,1,2,2
2013,3,4,1,1,1,2,3,1,2,4,1,1,3,6
2013,3,5,4,3,2,3,4,1,1,3,1,1,1,2
2013,3,6,5,4,2,3,5,1,1,2,2,1,1,2
2013,3,7,6,4,2,3,6,1,1,1,2,1,1,2
2013,3,8,5,4,2,3,5,1,2,1,2,1,2,6
2013,3,9,2,3,1,2,3,1,1,1,1,1,4,2
2013,3,10,1,2,1,2,3,1,1,4,1,1,3,6
2013,3,11,4,3,2,3,4,1,1,3,1,1,2,6
2013,3,12,4,2,1,2,4,1,1,3,2,2,1,1
2013,3,13,1,1,1,1,3,1,1,4,1,1,3,2
2013,3,14,3,2,2,2,3,1,1,4,2,1,3,6
2013,3,15,5,4,2,3,4,1,1,4,2,1,1,2
2013,3,16,5,4,2,3,4,1,1,4,2,1,2,5
2013,3,17,6,4,2,3,5,1,2,1,3,1,1,6
2013,3,18,2,2,1,2,3,1,1,1,1,2,4,2
2013,3,19,2,1,1,2,3,1,1,3,2,2,2,2
2013,3,20,2,1,1,2,3,1,1,4,2,2,3,6
2013,3,21,4,3,1,3,4,1,1,2,2,1,2,2
2013,3,22,3,2,1,2,3,1,1,3,2,1,4,2
2013,3,23,2,2,1,2,3,1,1,2,1,1,3,2
2013,3,24,1,1,1,1,3,1,1,4,1,1,4,2
2013,3,25,3,2,2,3,3,1,1,4,1,1,2,6
2013,3,26,5,4,2,3,4,1,1,2,2,1,2,6
2013,3,27,3,2,1,2,3,1,2,2,2,1,4,2
2013,3,28,1,2,1,1,3,1,1,4,1,1,3,2
2013,3,29,3,2,1,3,4,1,1,4,1,1,2,2
2013,3,30,3,2,2,2,4,1,1,4,2,1,2,2
2013,3,31,5,3,1,2,3,1,1,3,3,1,1,2
2013,4,1,3,2,1,1,3,1,2,3,2,1,4,2
2013,4,2,3,2,1,2,3,1,2,3,2,1,2,6
2013,4,3,4,3,2,3,4,1,2,2,2,1,2,6
2013,4,4,2,2,2,3,4,1,1,3,2,2,1,2
